idx,k0,M,response_err
52,4,4,0.6933286292720604
53,0,4,0.4320769997781296
54,4,4,0.609013678154723
55,-1,4,0.4840154280969407
56,3,4,0.5804795433521549
57,-3,4,0.6633729092225813
58,4,4,0.7334982772050921
59,1,4,0.5410073351418943
60,4,4,0.6124111378381984
61,3,4,0.5749087831485359
62,-1,4,0.4629270117061823
63,2,4,0.4805490013373273
64,1,4,0.49057527670541384
65,4,4,0.6651581055918484
66,0,4,0.4906794608672917
67,3,4,0.5348444269625332
68,-1,4,0.5199514141263958
69,1,4,0.6208982541900059
70,-2,4,0.5557042688954933
71,-4,4,0.6677872294146784
72,0,4,0.4612657004987702
73,3,4,0.5714067822065154
74,1,4,0.39817878070125734
75,3,4,0.5932730528299472
76,4,4,0.6290092917572716
77,-3,4,0.5811564865523029
78,-4,4,0.6919694266309017
79,4,4,0.6768001708782398
80,-4,4,0.6622151764959749
81,-4,4,0.724013215618488
82,0,4,0.45128002972037057
83,3,4,0.6129022651907724
84,1,4,0.4428383061118603
85,-3,4,0.6629054053620511
86,3,4,0.5762589100032073
87,4,4,0.7351420397028878
88,-4,4,0.7297087539684395
89,3,4,0.5588208205662535
90,-3,4,0.5857811998053458
91,-2,4,0.6145194004412097
92,4,4,0.6543540128555393
93,-3,4,0.6201999535982791
94,3,4,0.5414017718289534
95,3,4,0.6061236919939265
96,-4,4,0.6846567909507352
97,3,4,0.575086408235359
98,1,4,0.5025261522091116
99,0,4,0.44569997040427856
100,3,4,0.5396928197601477
101,3,4,0.586660364327843
102,3,4,0.5647670251216593
103,4,4,0.755531002799463
104,1,4,0.5280824777110209
105,4,4,0.6234739473477716
106,4,4,0.616478113729978
107,3,4,0.5684513644976101
108,-1,4,0.4676858355600367
109,-1,4,0.5866739395700857
110,1,4,0.47994545977151526
111,3,4,0.5250230491042407
112,-4,4,0.6392681911176482
113,4,4,0.6485542502276951
114,2,4,0.5102705191395152
115,0,4,0.4391992195775595
116,3,4,0.5858561309147815
117,0,4,0.4636737316877344
118,0,4,0.44546615269029194
119,-3,4,0.5602339995613776
120,1,4,0.5236044511411664
121,-1,4,0.4972276460207433
122,1,4,0.5682009130085073
123,3,4,0.5111609508718786
124,4,4,0.6603041524259396
125,-1,4,0.47065304152426557
126,-2,4,0.5117398520615424
127,4,4,0.6329401750445162
128,-3,4,0.5731428983959018
129,2,4,0.518533694224704
130,-3,4,0.6255592248859667
131,-1,4,0.49291195205704524
132,-2,4,0.5226282979758979
133,3,4,0.5538531302843229
134,-1,4,0.46022717209880504
135,0,4,0.431593295331283
136,3,4,0.5567793533127745
137,-1,4,0.44927241099922666
138,-1,4,0.46394725342984894
139,-2,4,0.4902825537407207
140,0,4,0.44276219415070317
141,-3,4,0.5419389454681648
142,-3,4,0.619103729877517
143,-4,4,0.7026386831311277
144,1,4,0.5671401171866723
145,-1,4,0.5377868891452379
146,0,4,0.489289403329631
147,-1,4,0.4814702629394399
148,-2,4,0.5053098582220862
149,0,4,0.4729559516562966
150,-1,4,0.4242043129057633
151,-1,4,0.5953133719966268
152,1,4,0.49796336780633865
153,1,4,0.4884193513685818
154,-1,4,0.4251094465053087
155,0,4,0.4828006486978382
156,-1,4,0.5232598697363847
157,2,4,0.5582636238017875
158,3,4,0.577922361474221
159,2,4,0.5158114675972578
160,4,4,0.6802497435580231
161,2,4,0.5273598828956225
162,2,4,0.5392806227600564
163,2,4,0.5522586385742474
164,1,4,0.4503302866403529
165,3,4,0.6213540581142053
166,-4,4,0.758172125193357
167,3,4,0.5790795243631713
168,-4,4,0.6511307172087951
169,-4,4,0.6916400745714889
170,2,4,0.5854369927189297
171,-4,4,0.6302900751114761
172,-4,4,0.6653402990290195
173,3,4,0.5747839466503032
174,3,4,0.5774186876092674
175,2,4,0.4608193636213629
176,-2,4,0.5338423436644478
177,-4,4,0.6756415127925981
178,4,4,0.6754536289107527
179,2,4,0.5097737631006952
180,4,4,0.680459871760391
181,1,4,0.43779860183973707
182,3,4,0.5982623044899198
183,0,4,0.45707055322358897
184,-2,4,0.5681035647022944
185,1,4,0.6059000808696121
186,-3,4,0.6659777795978298
187,-1,4,0.4579690471341138
188,0,4,0.43047562849878773
189,3,4,0.5860285122077543
190,3,4,0.5872361243632269
191,3,4,0.5762708238828786
192,-1,4,0.5573158144463481
193,3,4,0.566894883018874
194,4,4,0.6769190700877165
195,4,4,0.6488870866232512
196,-2,4,0.5337447166247009
197,2,4,0.5082608878889787
198,-2,4,0.49277397212732565
199,-1,4,0.5368928058931127
0,4,8,0.31431007508073866
1,2,8,0.23584917868862879
2,-3,8,0.2559579453282091
3,-2,8,0.19535264882663564
4,-3,8,0.2668857806819781
5,3,8,0.2508842455171446
6,0,8,0.162681984669175
7,4,8,0.3195800398191983
8,-4,8,0.30593529374491985
9,3,8,0.24333082979415296
10,0,8,0.2035887534499507
11,-2,8,0.21858386528339102
12,4,8,0.37732813110630736
13,0,8,0.18534514045203487
14,-1,8,0.19595579650594996
15,0,8,0.1684049690866412
16,1,8,0.23692935397248063
17,-1,8,0.1797308308944877
18,-2,8,0.25833782312802167
19,-4,8,0.383756972128599
20,-3,8,0.17376102406183594
21,2,8,0.21853574031845335
22,1,8,0.2087168515175543
23,1,8,0.2085589318149796
24,0,8,0.19674627684882726
25,3,8,0.23846971974363843
26,3,8,0.33468732856848027
