idx,k0,seed,M,arm,response_err
6,0,0,4,retrain,0.4460393726032713
6,0,0,4,clip,0.9268138323841351
6,0,0,8,retrain,0.1831844143511614
6,0,0,8,clip,0.7755998492432967
6,0,0,12,retrain,0.21898595582083508
6,0,0,12,clip,0.7290857266873694
6,0,0,16,retrain,0.6907901033413524
6,0,0,16,clip,0.6907901033413524
6,0,1,2,retrain,0.8754260988345328
6,0,1,2,clip,1.053432060784811
6,0,1,4,retrain,0.43449227192300904
6,0,1,4,clip,0.9364014624698191
6,0,1,8,retrain,0.15631415455709619
6,0,1,8,clip,0.7889848155212986
6,0,1,12,retrain,0.26065788345535473
6,0,1,12,clip,0.7412704276828096
6,0,1,16,retrain,0.699241862408132
6,0,1,16,clip,0.699241862408132
6,0,2,2,retrain,0.9667334244115764
6,0,2,2,clip,0.9953399328161882
6,0,2,4,retrain,0.4603699669640099
6,0,2,4,clip,0.848666383171008
6,0,2,8,retrain,0.1783267967118246
6,0,2,8,clip,0.6903482564546713
6,0,2,12,retrain,0.1453624993857347
6,0,2,12,clip,0.645534689874246
6,0,2,16,retrain,0.6078831175602553
6,0,2,16,clip,0.6078831175602553
7,4,0,2,retrain,0.9798840538032982
7,4,0,2,clip,1.118932782487194
7,4,0,4,retrain,0.6458824813333007
7,4,0,4,clip,1.0762255183239513
7,4,0,8,retrain,0.33762869002880136
7,4,0,8,clip,0.6893017992937356
7,4,0,12,retrain,0.2717196533293155
7,4,0,12,clip,0.5461557855176213
7,4,0,16,retrain,0.47660683316766683
7,4,0,16,clip,0.47660683316766683
7,4,1,2,retrain,0.8823824254877712
7,4,1,2,clip,1.1814749543387069
7,4,1,4,retrain,0.6619272577442983
7,4,1,4,clip,1.1068859324798896
7,4,1,8,retrain,0.3175139148304407
7,4,1,8,clip,0.7115441403546376
7,4,1,12,retrain,0.30261070888979397
7,4,1,12,clip,0.5885258827021936
7,4,1,16,retrain,0.5193857035039418
7,4,1,16,clip,0.5193857035039418
7,4,2,2,retrain,1.0257180928339917
7,4,2,2,clip,1.1500526790837087
7,4,2,4,retrain,0.6255085394775838
7,4,2,4,clip,1.1232614721704453
7,4,2,8,retrain,0.31632719857447733
7,4,2,8,clip,0.6960362352126714
7,4,2,12,retrain,0.30611348033393077
7,4,2,12,clip,0.5696448572547911
7,4,2,16,retrain,0.49690910875475947
7,4,2,16,clip,0.49690910875475947
8,-4,0,2,retrain,0.9973559905546375
8,-4,0,2,clip,1.117505249937949
8,-4,0,4,retrain,0.6464153827781608
8,-4,0,4,clip,1.093888411741377
8,-4,0,8,retrain,0.3265141268577805
8,-4,0,8,clip,0.6851001334888408
8,-4,0,12,retrain,0.27364633362995555
8,-4,0,12,clip,0.5420550358516993
8,-4,0,16,retrain,0.4712512885945473
8,-4,0,16,clip,0.4712512885945473
8,-4,1,2,retrain,0.9465809148243605
8,-4,1,2,clip,1.1614834975013963
8,-4,1,4,retrain,0.6074027286276302
8,-4,1,4,clip,1.1041011299310952
8,-4,1,8,retrain,0.3468545255937975
8,-4,1,8,clip,0.6457877443919064
8,-4,1,12,retrain,0.28852649358377386
8,-4,1,12,clip,0.5307139567243645
8,-4,1,16,retrain,0.46222777111602364
8,-4,1,16,clip,0.46222777111602364
8,-4,2,2,retrain,1.0042235068767522
8,-4,2,2,clip,1.1459912634914595
8,-4,2,4,retrain,0.6281714947183599
8,-4,2,4,clip,1.0980592807768261
8,-4,2,8,retrain,0.31325322485985657
8,-4,2,8,clip,0.6680383789956628
8,-4,2,12,retrain,0.2814131583310975
8,-4,2,12,clip,0.5363406101944507
8,-4,2,16,retrain,0.4609515225803995
8,-4,2,16,clip,0.4609515225803995
9,3,0,2,retrain,1.159376358363669
9,3,0,2,clip,1.0649558753615025
9,3,0,4,retrain,0.5364955100101076
9,3,0,4,clip,0.9886118258362693
9,3,0,8,retrain,0.2855790895189938
9,3,0,8,clip,0.6893610968870917
9,3,0,12,retrain,0.2369338991594398
9,3,0,12,clip,0.6109394689892854
9,3,0,16,retrain,0.5751080502092518
9,3,0,16,clip,0.5751080502092518
9,3,1,2,retrain,1.0223554021114352
9,3,1,2,clip,1.1235525955087926
9,3,1,4,retrain,0.5278367911900259
9,3,1,4,clip,1.030651306301298
9,3,1,8,retrain,0.23296535050753484
9,3,1,8,clip,0.7155066426394
9,3,1,12,retrain,0.28947462442966043
9,3,1,12,clip,0.6432585058971386
9,3,1,16,retrain,0.6022087830063042
9,3,1,16,clip,0.6022087830063042
9,3,2,2,retrain,0.9840503173774373
9,3,2,2,clip,1.122484905796226
9,3,2,4,retrain,0.5232653048062081
9,3,2,4,clip,1.0528239094925174
9,3,2,8,retrain,0.23015711431745803
9,3,2,8,clip,0.7291644668704762
9,3,2,12,retrain,0.20489597383714883
9,3,2,12,clip,0.6547160457764151
9,3,2,16,retrain,0.6096604888950773
9,3,2,16,clip,0.6096604888950773
10,0,0,2,retrain,0.9627985280132298
10,0,0,2,clip,1.0017291356153075
10,0,0,4,retrain,0.4746038827749038
10,0,0,4,clip,0.887317410802879
10,0,0,8,retrain,0.22557324158977288
10,0,0,8,clip,0.7402802801298436
10,0,0,12,retrain,0.20854465997675184
10,0,0,12,clip,0.6832336321429708
10,0,0,16,retrain,0.641082256943343
10,0,0,16,clip,0.641082256943343
10,0,1,2,retrain,0.914219167031829
10,0,1,2,clip,1.0411952401241238
10,0,1,4,retrain,0.4392422857621367
10,0,1,4,clip,0.9006845210846505
10,0,1,8,retrain,0.20884035428422276
10,0,1,8,clip,0.7359321243720446
10,0,1,12,retrain,0.2632908419493663
10,0,1,12,clip,0.685788790654645
10,0,1,16,retrain,0.6417667547569985
10,0,1,16,clip,0.6417667547569985
10,0,2,2,retrain,0.8060665004966107
10,0,2,2,clip,0.9710748060160573
10,0,2,4,retrain,0.4440014639606676
10,0,2,4,clip,0.8255565536807814
10,0,2,8,retrain,0.19308233781413528
