idx,k0,M,response_err
88,-4,12,0.5243088635962274
88,-4,16,0.45881733487283693
89,3,2,1.0325460900742591
89,3,4,0.9296267445823583
89,3,8,0.5999987267991941
89,3,12,0.49101395884903065
89,3,16,0.4404002308316523
90,-3,2,1.0966109117541072
90,-3,4,0.9942437571967653
90,-3,8,0.6555280549953563
90,-3,12,0.5603772824234502
90,-3,16,0.5227470677146554
91,-2,2,1.1069557355123558
91,-2,4,0.9322089131245619
91,-2,8,0.6372981644279255
91,-2,12,0.5591919332065259
91,-2,16,0.5092093945402456
92,4,2,1.0834680280011324
92,4,4,1.0551677889821405
92,4,8,0.6443939890617908
92,4,12,0.48139822853563796
92,4,16,0.41677626614498997
93,-3,2,1.0276578702184518
93,-3,4,0.947478254942481
93,-3,8,0.6415183525420493
93,-3,12,0.5617616121885337
93,-3,16,0.5161306330620185
94,3,2,1.0528040610457365
94,3,4,0.9721139633919027
94,3,8,0.6264240016971463
94,3,12,0.531467531451602
94,3,16,0.4933954881673918
95,3,2,1.062367490724108
95,3,4,0.9547949909328471
95,3,8,0.7183934186227141
95,3,12,0.6077318726518366
95,3,16,0.563944790489624
96,-4,2,1.1085943880710054
96,-4,4,1.0385336834613057
96,-4,8,0.6238979821414721
96,-4,12,0.4661147174307975
96,-4,16,0.41065200055863066
97,3,2,1.093347937170563
97,3,4,0.9886310316338476
97,3,8,0.6368107289417474
97,3,12,0.5382773307508586
97,3,16,0.49734784260378934
98,1,2,0.980579177332612
98,1,4,0.8327513086110566
98,1,8,0.6201378940597835
98,1,12,0.5599764230476273
98,1,16,0.5267712031899034
99,0,2,0.9418586631296586
99,0,4,0.7621665490831624
99,0,8,0.5726895709597295
99,0,12,0.5281482020902668
99,0,16,0.49277072461044213
100,3,2,1.0514299246547338
100,3,4,0.9564819441156774
100,3,8,0.6262964894128115
100,3,12,0.5436974044275903
100,3,16,0.5049127059691774
101,3,2,1.0665676473163221
101,3,4,0.9665602597245235
101,3,8,0.6266863507567969
101,3,12,0.5116073917428379
101,3,16,0.46314911219090926
102,3,2,1.0383448982062797
102,3,4,0.950242390530548
102,3,8,0.6281141961716589
102,3,12,0.5057244492197472
102,3,16,0.45656623667793894
103,4,2,1.1121862655751429
103,4,4,1.0821032566293989
103,4,8,0.6311911245970603
103,4,12,0.4820046649572901
103,4,16,0.40921043407876695
104,1,2,1.0369914024621696
104,1,4,0.9065242123397906
104,1,8,0.6822381920968744
104,1,12,0.6170116262019684
104,1,16,0.5763079894630977
105,4,2,1.0931506621109843
105,4,4,1.0429894154675075
105,4,8,0.6821483380972209
105,4,12,0.5631633861227501
105,4,16,0.5015046505055103
106,4,2,1.046707676526077
106,4,4,0.9416043243210179
106,4,8,0.603856878687246
106,4,12,0.47341906768248687
106,4,16,0.4077948324297203
107,3,2,1.039258978803781
107,3,4,0.9644536436709555
107,3,8,0.6422514440870271
107,3,12,0.5346795836703966
107,3,16,0.4903019828210892
108,-1,2,0.9696946295948081
108,-1,4,0.8476785946310195
108,-1,8,0.6647070703011188
108,-1,12,0.6105340203426216
108,-1,16,0.5715775970490262
109,-1,2,1.0759942010717498
109,-1,4,0.973893922353968
109,-1,8,0.7976141146567445
109,-1,12,0.7450213102109171
109,-1,16,0.7010218224532854
110,1,2,1.0497995965145561
110,1,4,0.9220064460849652
110,1,8,0.7455991653170205
110,1,12,0.6953441946876596
110,1,16,0.6571289773151795
111,3,2,1.0407097158847305
111,3,4,0.9294929693622213
111,3,8,0.5801529068909165
111,3,12,0.4925812214604984
111,3,16,0.46067175510189223
112,-4,2,1.1128446512997094
112,-4,4,1.0306022530367385
112,-4,8,0.6997633746927745
112,-4,12,0.5624985886770663
112,-4,16,0.4954681516451978
113,4,2,1.0703969612084834
113,4,4,0.9998243391738951
113,4,8,0.636238723973424
113,4,12,0.5217494504817927
113,4,16,0.4671227024260889
114,2,2,1.002808239748078
114,2,4,0.9149477976713214
114,2,8,0.6853364602508356
114,2,12,0.6248575392370278
114,2,16,0.5862871372820126
115,0,2,0.8928069698037608
115,0,4,0.7561408163020019
115,0,8,0.6288965245896111
115,0,12,0.5899839997769576
115,0,16,0.5550452483443157
116,3,2,1.0881976911878024
116,3,4,0.9808765013449744
116,3,8,0.5764059341805999
116,3,12,0.4529893251693538
116,3,16,0.4049402939444227
117,0,2,1.0815129722569794
117,0,4,0.7959034460375792
117,0,8,0.5233051095531259
117,0,12,0.4548009957916488
117,0,16,0.4150921496097211
118,0,2,0.9703487588205242
118,0,4,0.7899488158424574
118,0,8,0.6241197762476319
118,0,12,0.5789570284615868
118,0,16,0.5450200916535118
119,-3,2,1.052305519046837
119,-3,4,0.9550911117869708
119,-3,8,0.6736448034472222
119,-3,12,0.5948036673139105
119,-3,16,0.5551444548641117
120,1,2,0.9783007372139352
120,1,4,0.8630533583807938
120,1,8,0.6704600425074688
120,1,12,0.6103264370323382
120,1,16,0.5739788630715058
121,-1,2,1.0018585557388855
121,-1,4,0.8292179746211654
121,-1,8,0.6411854506863858
121,-1,12,0.579183477213179
121,-1,16,0.5404520104921312
122,1,2,1.0366260795784923
122,1,4,0.9086403692286386
122,1,8,0.6485903774334177
122,1,12,0.5765373930556521
122,1,16,0.5350752016854999
123,3,2,1.0674745972235893
123,3,4,0.9502550261911605
123,3,8,0.6278087206256087
123,3,12,0.5523313198762567
123,3,16,0.5184655148653577
124,4,2,1.100986638116361
124,4,4,1.0597274378507704
124,4,8,0.6486523487880088
124,4,12,0.5032704771231173
124,4,16,0.43013395350008843
125,-1,2,1.0340390796650063
125,-1,4,0.8917792184964752
125,-1,8,0.7617773322606081
125,-1,12,0.7110086051177663
125,-1,16,0.6716620271510765
126,-2,2,0.9679367278936027
126,-2,4,0.8059195625945588
126,-2,8,0.5545860097634785
126,-2,12,0.4782359807313642
126,-2,16,0.4439207861010478
127,4,2,1.0867362372378826
127,4,4,1.0179633120084948
127,4,8,0.6196824398291066
127,4,12,0.49421283361397733
127,4,16,0.4237535554839848
128,-3,2,1.087573565934056
128,-3,4,0.9722007878851623
128,-3,8,0.6596435504950882
128,-3,12,0.5410779697098549
128,-3,16,0.48927460864067246
129,2,2,1.0275504812584593
129,2,4,0.8724449419098798
129,2,8,0.6129124497967343
129,2,12,0.5365885349046549
129,2,16,0.5033170513646036
130,-3,2,1.0414289337717404
130,-3,4,0.9357719703151385
130,-3,8,0.6295860534761879
130,-3,12,0.5216537458770251
130,-3,16,0.4791650653189183
131,-1,2,0.9886231812683343
131,-1,4,0.8401952533573838
131,-1,8,0.6545598512139076
131,-1,12,0.6017521458240428
131,-1,16,0.5676289645044011
132,-2,2,1.0431815180407487
132,-2,4,0.9283605593843961
132,-2,8,0.7002911865554402
