M,seed,idx,k0,response_err
12,2,58,4,0.34441977276728136
12,2,59,1,0.1638167470941676
12,2,60,4,0.21605708080181565
12,2,61,3,0.2674956851106485
12,2,62,-1,0.2261152791553353
12,2,63,2,0.21810750521044298
12,2,64,1,0.13723570842742466
12,2,65,4,0.2615714405483353
12,2,66,0,0.20996490083192398
12,2,67,3,0.1795273910833474
12,2,68,-1,0.19102363836587255
12,2,69,1,0.2958801718872892
12,2,70,-2,0.30260179627946077
12,2,71,-4,0.3377414306022466
12,2,72,0,0.21092254130312044
12,2,73,3,0.2096413970176304
12,2,74,1,0.1886214466120255
12,2,75,3,0.240877466941343
12,2,76,4,0.2308732809504591
12,2,77,-3,0.2174157104429835
12,2,78,-4,0.3306529098532627
12,2,79,4,0.2563306639208438
12,2,80,-4,0.23405326148748254
12,2,81,-4,0.26555066425208196
12,2,82,0,0.20834196453353174
12,2,83,3,0.2454929223605723
12,2,84,1,0.1812223786525666
12,2,85,-3,0.21642670764031102
12,2,86,3,0.20109702692722076
12,2,87,4,0.2773417549353232
12,2,88,-4,0.26538752390976494
12,2,89,3,0.2447110879314998
12,2,90,-3,0.14130278257940923
12,2,91,-2,0.27974284314682196
12,2,92,4,0.2463315103816308
12,2,93,-3,0.24835157813686518
12,2,94,3,0.18297946446482014
12,2,95,3,0.2591403799230281
12,2,96,-4,0.22532466640435136
12,2,97,3,0.19811880200714035
12,2,98,1,0.19271815399839815
12,2,99,0,0.22583079460990282
12,2,100,3,0.22757495508507333
12,2,101,3,0.21828127077024637
12,2,102,3,0.23544058018395073
12,2,103,4,0.30427195842699667
12,2,104,1,0.22090243442711277
12,2,105,4,0.24809773918647388
12,2,106,4,0.3030471570608374
12,2,107,3,0.22492731385807582
12,2,108,-1,0.24099484929202605
12,2,109,-1,0.18774801763418153
12,2,110,1,0.24296133388570554
12,2,111,3,0.19589006660782352
12,2,112,-4,0.2873907392235964
12,2,113,4,0.27740325399831944
12,2,114,2,0.14987580297050276
12,2,115,0,0.19144811106716547
12,2,116,3,0.22979579470767128
12,2,117,0,0.2258946483226695
12,2,118,0,0.1815761645965676
12,2,119,-3,0.15897186259402263
12,2,120,1,0.3086949776366548
12,2,121,-1,0.2712545075928628
12,2,122,1,0.2862247709176901
12,2,123,3,0.18537466007474843
12,2,124,4,0.2587892431225835
12,2,125,-1,0.16475773778410976
12,2,126,-2,0.20693074998917582
12,2,127,4,0.2717665960902061
12,2,128,-3,0.22193543186366
12,2,129,2,0.22652357127360517
12,2,130,-3,0.28414743193210046
12,2,131,-1,0.14068099283893246
12,2,132,-2,0.19366158151703922
12,2,133,3,0.2233143862997706
12,2,134,-1,0.18573096448252696
12,2,135,0,0.26882034807610883
12,2,136,3,0.19475661740009484
12,2,137,-1,0.18830165957102338
12,2,138,-1,0.20282108800456247
12,2,139,-2,0.20775966406929056
12,2,140,0,0.16678150385295853
12,2,141,-3,0.21837618457036154
12,2,142,-3,0.22085132033396568
12,2,143,-4,0.2842968171869988
12,2,144,1,0.262051169517403
12,2,145,-1,0.1639448296182964
12,2,146,0,0.327736658814247
12,2,147,-1,0.25696929351087267
12,2,148,-2,0.19698914629558278
12,2,149,0,0.17462635214563535
12,2,150,-1,0.23428252076671924
12,2,151,-1,0.2645912954739269
12,2,152,1,0.15043803834568847
12,2,153,1,0.2119181323112155
12,2,154,-1,0.13374241591160266
12,2,155,0,0.19160645599596676
12,2,156,-1,0.25175822203922166
12,2,157,2,0.21304945120271904
12,2,158,3,0.1949756831297591
12,2,159,2,0.23936789540060033
12,2,160,4,0.24030435213913534
12,2,161,2,0.29668313905979454
12,2,162,2,0.24428532842920492
12,2,163,2,0.347171840481911
12,2,164,1,0.13740972300450008
12,2,165,3,0.2287008155217731
12,2,166,-4,0.3749800657941873
12,2,167,3,0.15540324049563653
12,2,168,-4,0.2423913867943338
12,2,169,-4,0.23143786265775596
12,2,170,2,0.28744840213528206
12,2,171,-4,0.24430327972444016
12,2,172,-4,0.23505058523650155
12,2,173,3,0.21343023798618718
12,2,174,3,0.22003467784422917
12,2,175,2,0.1492448140293232
12,2,176,-2,0.2010563030911345
12,2,177,-4,0.21926717205447413
12,2,178,4,0.2598553283491084
12,2,179,2,0.18108095451832346
12,2,180,4,0.23293729393646762
12,2,181,1,0.20292939889278036
12,2,182,3,0.2885572263532826
12,2,183,0,0.2432875064203391
12,2,184,-2,0.2819296071110668
12,2,185,1,0.3223178999426695
12,2,186,-3,0.3091735025911503
12,2,187,-1,0.18477618577585914
12,2,188,0,0.20769384950280567
12,2,189,3,0.23735301644914053
12,2,190,3,0.19698695211187095
12,2,191,3,0.2515772783615191
12,2,192,-1,0.30504016149254354
12,2,193,3,0.23812064155327578
12,2,194,4,0.31837657732725805
12,2,195,4,0.269954573594297
12,2,196,-2,0.237128834198985
12,2,197,2,0.24733553401564456
12,2,198,-2,0.2042599275033137
12,2,199,-1,0.16529741280701268
12,3,0,4,0.25626286987302915
12,3,1,2,0.20752453498134235
12,3,2,-3,0.2157958515737285
12,3,3,-2,0.18438898835880171
12,3,4,-3,0.2388704915225098
12,3,5,3,0.23218402085188827
12,3,6,0,0.10435015925792103
12,3,7,4,0.2605235305234048
12,3,8,-4,0.25848747491298274
12,3,9,3,0.17034126937398952
12,3,10,0,0.11537482587578404
12,3,11,-2,0.18786060077397673
12,3,12,4,0.33059436432651745
12,3,13,0,0.11737280463382507
12,3,14,-1,0.18199737345108485
12,3,15,0,0.12683283246725924
12,3,16,1,0.17833263194151155
