idx,k0,response_err,num,den,seconds
76,4,0.44798158592950876,0.2233387953484582,0.49854458835636434,0.188
77,-3,0.48624973594828425,0.25574719049193717,0.525958517989072,0.191
78,-4,0.47246384418399373,0.22631237726819098,0.47900464777164437,0.187
79,4,0.3734766914388613,0.18524808585916686,0.49600976474723923,0.190
80,-4,0.39568640825023493,0.20374761200956842,0.5149219375781969,0.186
81,-4,0.4392838562680083,0.21496641846038542,0.4893565183265779,0.217
82,0,0.5427158918773198,0.2906163260644537,0.5354851966084441,0.198
83,3,0.5812194359826827,0.29442057688517737,0.5065566611470811,0.200
84,1,0.5802615114375631,0.3109414821363951,0.5358643921876814,0.238
85,-3,0.49841534325581305,0.2528470871531865,0.5073019732930092,0.224
86,3,0.5223262521857931,0.27355253886097197,0.5237196823177642,0.196
87,4,0.37060227016621544,0.1856619999417305,0.5009737254401084,0.190
88,-4,0.45881733487283693,0.22732207544773078,0.4954522381128734,0.186
89,3,0.4404002308316523,0.22584191160590364,0.5128106113373817,0.190
90,-3,0.5227470677146554,0.2799659642225733,0.5355667807885139,0.192
91,-2,0.5092093945402456,0.26509380847227976,0.5205988171361751,0.201
92,4,0.41677626614498997,0.2083668058580111,0.49994882814541924,0.195
93,-3,0.5161306330620185,0.26896469867705664,0.521117487410862,0.184
94,3,0.4933954881673918,0.26470686395567794,0.5365003740485608,0.191
95,3,0.563944790489624,0.29876603043091315,0.5297788639407782,0.184
96,-4,0.41065200055863066,0.2076550349048798,0.5056715530970168,0.186
97,3,0.49734784260378934,0.2599562253570181,0.5226849361526466,0.186
98,1,0.5267712031899034,0.28161628683536655,0.5346083558289016,0.187
99,0,0.49277072461044213,0.26526939562507457,0.538322149382519,0.187
100,3,0.5049127059691774,0.26587564801029995,0.5265774556018609,0.189
101,3,0.46314911219090926,0.2426360854697448,0.5238833003953393,0.188
102,3,0.45656623667793894,0.23484757732843575,0.5143778896951087,0.189
103,4,0.40921043407876695,0.19793206814044634,0.483692622809191,0.187
104,1,0.5763079894630977,0.3044785859075628,0.5283261580170394,0.241
105,4,0.5015046505055103,0.25256983018934365,0.5036241038537858,0.187
106,4,0.4077948324297203,0.20061421694154416,0.4919488943649578,0.187
107,3,0.4903019828210892,0.25655987583819223,0.5232690970613731,0.187
108,-1,0.5715775970490262,0.30512784611732235,0.5338345094220872,0.188
109,-1,0.7010218224532854,0.37918350103367243,0.5409011372951096,0.187
110,1,0.6571289773151795,0.35020117101998094,0.5329260816511118,0.191
111,3,0.46067175510189223,0.24638252420148812,0.5348331463191026,0.187
112,-4,0.4954681516451978,0.2452072212388412,0.4949000665827515,0.218
113,4,0.4671227024260889,0.23762643722062757,0.5087023944382715,0.191
114,2,0.5862871372820126,0.31011844013920703,0.5289531705861654,0.186
115,0,0.5550452483443157,0.2967500172734234,0.5346411272929916,0.190
116,3,0.4049402939444227,0.20667073969580718,0.5103733631510929,0.196
117,0,0.4150921496097211,0.2199737613029187,0.5299395845229619,0.190
118,0,0.5450200916535118,0.2896824922019248,0.5315079143652671,0.186
119,-3,0.5551444548641117,0.2927552369045326,0.5273496552824134,0.191
120,1,0.5739788630715058,0.3060776820127604,0.5332560163885852,0.187
121,-1,0.5404520104921312,0.2881848206305089,0.5332292507675013,0.196
122,1,0.5350752016854999,0.2816155229380658,0.5263101748146243,0.188
123,3,0.5184655148653577,0.2797033161964613,0.5394829707605501,0.188
124,4,0.43013395350008843,0.2110243219969974,0.49060140516657447,0.187
125,-1,0.6716620271510765,0.3598917274506648,0.5358226502355397,0.190
126,-2,0.4439207861010478,0.23828258793141432,0.5367682599957712,0.193
127,4,0.4237535554839848,0.20841796569453475,0.4918376801735452,0.188
128,-3,0.48927460864067246,0.2532512230106431,0.5176054888976122,0.186
129,2,0.5033170513646036,0.26750989283119153,0.5314938011853825,0.188
130,-3,0.4791650653189183,0.25137142908704574,0.524602996505474,0.186
